Alpha,Cl,Cd
-15.5,-0.955,0.08747
-15.25,-1.0272,0.07547
-15,-1.0783,0.06773
-14.75,-1.1189,0.0621
-14.5,-1.1535,0.05778
-14.25,-1.1203,0.05664
-14,-1.1217,0.05432
-13.75,-1.1308,0.05169
-13.5,-1.1462,0.04907
-13.25,-1.1656,0.04675
-13,-1.1414,0.04522
-12.75,-1.1355,0.04388
-12.5,-1.1414,0.04228
-12.25,-1.1487,0.04066
-12,-1.121,0.03959
-11.75,-1.1195,0.03838
-11.5,-1.1138,0.03697
-11.25,-1.0953,0.03611
-11,-1.095,0.03505
-10.75,-1.0765,0.03402
-10.5,-1.0688,0.03319
-10.25,-1.0581,0.03218
-10,-1.0458,0.03148
-9.75,-1.0375,0.03057
-9.5,-1.0236,0.02993
-9.25,-1.0148,0.0291
-9,-1.0014,0.02851
-8.75,-0.9907,0.02777
-8.5,-0.979,0.02722
-8.25,-0.966,0.02658
-8,-0.9568,0.02606
-7.75,-0.941,0.02552
-7.5,-0.9288,0.02497
-7.25,-0.9162,0.02454
-7,-0.9009,0.0241
-6.75,-0.8871,0.02367
-6.5,-0.8738,0.02333
-6.25,-0.8569,0.023
-6,-0.8409,0.0227
-5.75,-0.8252,0.02242
-5.5,-0.8096,0.02221
-5.25,-0.792,0.02203
-5,-0.7748,0.02186
-4.75,-0.7579,0.02173
-4.5,-0.7326,0.02166
-4.25,-0.6863,0.02174
-4,-0.6394,0.02182
-3.75,-0.5975,0.02181
-3.5,-0.5556,0.0218
-3.25,-0.5079,0.02179
-3,-0.4718,0.02171
-2.75,-0.4314,0.02165
-2.5,-0.386,0.02156
-2.25,-0.3503,0.02148
-2,-0.2985,0.02133
-1.75,-0.2642,0.02125
-1.5,-0.2136,0.02102
-1.25,-0.1834,0.02093
-1,-0.1421,0.02074
-0.75,-0.1085,0.02058
-0.5,-0.0739,0.02059
-0.25,-0.029,0.02045
0,0,0.02047
0.25,0.029,0.02045
0.5,0.0739,0.02059
0.75,0.1085,0.02058
1,0.142,0.02074
1.25,0.1834,0.02093
1.5,0.2136,0.02102
1.75,0.2641,0.02125
2,0.2985,0.02133
2.25,0.3503,0.02148
2.5,0.386,0.02156
2.75,0.4313,0.02165
3,0.4718,0.0217
3.25,0.5079,0.02179
3.5,0.5555,0.0218
3.75,0.5975,0.02181
4,0.6394,0.02182
4.25,0.6862,0.02173
4.5,0.7326,0.02165
4.75,0.7577,0.02172
5,0.7746,0.02186
5.25,0.7917,0.02202
5.5,0.8094,0.02221
5.75,0.8249,0.02241
6,0.8406,0.02269
6.25,0.8566,0.023
6.5,0.8736,0.02332
6.75,0.8869,0.02366
7,0.9007,0.0241
7.25,0.9161,0.02454
7.5,0.9286,0.02497
7.75,0.9409,0.02551
8,0.9567,0.02605
8.25,0.9659,0.02658
8.5,0.9789,0.02722
8.75,0.9905,0.02777
9,1.0013,0.02851
9.25,1.0147,0.0291
9.5,1.0236,0.02992
9.75,1.0375,0.03056
10,1.0458,0.03148
10.25,1.0581,0.03218
10.5,1.0689,0.03319
10.75,1.0767,0.03402
11,1.0951,0.03505
11.25,1.0956,0.03611
11.5,1.1142,0.03697
11.75,1.1198,0.03838
12,1.1215,0.0396
12.25,1.1498,0.04067
12.5,1.1419,0.04229
12.75,1.1362,0.04388
13,1.1426,0.04522
13.25,1.1661,0.04677
13.5,1.1468,0.04909
13.75,1.1317,0.05171
14,1.1232,0.05431
14.25,1.1226,0.05659
14.5,1.154,0.05783
14.75,1.1193,0.06216
15,1.0788,0.06782
15.25,1.0273,0.07564
15.5,0.9543,0.08783
